,product,date,year,Foundry,num_shading_units,num_compute_units,num_tensor_cores,flops,FP16_flops,FP32_flops,FP64_flops,timestamp,real_price_2020,process_size_in_nm,TDP_in_W,transistors_in_millions,die_size_in_mm,base_clock_in_MHz,bandwidth_in_GBs,bus_width_in_bit,GPU_clock_in_MHz,length_in_mm,memory_bus_in_bit,memory_clock_in_MHz,memory_size_in_MB,pixel_rate_in_MPixel_per_s,texture_rate_in_GTexel_per_s,num_cores
3558,NVIDIA GeForce 8500 GT,2007-04-17 12:00:00,2007.0,TSMC,16.0,,,29380000000.0,,29380000000.0,,1176768000.0,161.02197818097633,80,30.0,210.0,127.0,,12.8,128.0,459.0,229.0,128.0,400.0,256.0,1836.0,3.672,16
3559,NVIDIA GeForce GTX 680M,2012-06-04 12:00:00,2012.0,TSMC,1344.0,,,2038000000000.0,,2037999999999.9998,84900000000.0,1338768000.0,,28,100.0,3540.0,294.0,719.0,115.2,256.0,,,256.0,900.0,4000.0,21220.0,84.9,1344
3560,NVIDIA GeForce GTX 970,2014-09-19 12:00:00,2014.0,TSMC,1664.0,,,3920000000000.0,,3920000000000.0,122500000000.0,1411084800.0,359.6783716882941,28,148.0,5200.0,398.0,1050.0,224.4,256.0,,267.0,256.0,1753.0,4000.0,65970.0,122.5,1664
3562,ATI Radeon HD 2400 PRO AGP,2007-06-28 12:00:00,2007.0,TSMC,40.0,2.0,,42000000000.0,,42000000000.0,,1182988800.0,,65,20.0,180.0,85.0,,6.4,64.0,525.0,,64.0,400.0,256.0,2100.0,2.1,40
3563,NVIDIA GeForce GT 520MX,2011-05-30 12:00:00,2011.0,TSMC,48.0,,,172800000000.0,,172800000000.0,14400000000.0,1306713600.0,,40,20.0,292.0,79.0,,14.4,64.0,900.0,,64.0,900.0,1024.0,1800.0,7.2,48
3565,ATI Radeon HD 5770 Mac Edition,2010-07-04 12:00:00,2010.0,TSMC,800.0,10.0,,1360000000000.0,,1360000000000.0,,1278201600.0,,40,108.0,1040.0,166.0,,76.48,128.0,850.0,208.0,128.0,1195.0,1024.0,13600.0,34.0,800
3566,AMD Radeon HD 7560G IGP,2012-05-15 12:00:00,2012.0,TSMC,256.0,4.0,,389100000000.0,,389100000000.0,,1337040000.0,,32,35.0,1303.0,246.0,496.0,,,,,,,,6080.0,12.16,256
3567,AMD Radeon R5 A320,,2015.0,TSMC,320.0,5.0,,528000000000.0,,528000000000.0,,,,28,,690.0,56.0,750.0,16.0,64.0,,,64.0,1000.0,1024.0,6600.0,16.5,320
3569,NVIDIA GeForce GTX 980M,2014-10-07 12:00:00,2014.0,TSMC,1536.0,,,3462000000000.0,,3462000000000.0,108200000000.0,1412640000.0,,28,,5200.0,398.0,1038.0,160.4,256.0,,,256.0,1253.0,8000.0,72130.0,108.2,1536
3570,ATI Radeon 3100 Mobile IGP,2008-08-15 12:00:00,2008.0,,40.0,2.0,,28000000000.0,,28000000000.0,,1218758400.0,,65,,180.0,85.0,,,,350.0,,,,,1400.0,1.4,40
3571,ATI Radeon HD 4870 X2,2008-08-12 12:00:00,2008.0,TSMC,800.0,10.0,,1200000000000.0,,1200000000000.0,240000000000.0,1218499200.0,661.1429009349614,55,286.0,956.0,256.0,,115.2,512.0,750.0,267.0,256.0,900.0,2048.0,12000.0,30.0,1600
3572,NVIDIA Quadro M3000 SE,2016-10-02 12:00:00,2016.0,TSMC,1024.0,,,1892000000000.0,,1892000000000.0,59140000000.0,1475366400.0,,28,75.0,5200.0,398.0,823.0,160.4,256.0,,,256.0,1253.0,4000.0,29570.0,59.14,1024
3573,NVIDIA GeForce GTX 570 Rev. 2,2010-12-07 12:00:00,2010.0,TSMC,480.0,,,1405000000000.0,,1405000000000.0,175700000000.0,1291680000.0,414.22863392889894,40,219.0,3000.0,520.0,,152.0,320.0,732.0,267.0,320.0,950.0,1280.0,21960.0,43.92,480
3574,AMD Radeon 520 Mobile,2017-04-18 12:00:00,2017.0,TSMC,320.0,5.0,,659200000000.0,,659200000000.0,41200000000.0,1492473600.0,,28,50.0,690.0,56.0,,16.0,64.0,1030.0,,64.0,1000.0,2000.0,8240.0,20.6,320
3575,NVIDIA GeForce GTX 780M Mac Edition,2013-11-08 12:00:00,2013.0,TSMC,1536.0,,,2448000000000.0,,2448000000000.0,102000000000.0,1383868800.0,,28,122.0,3540.0,294.0,771.0,160.0,256.0,,,256.0,1250.0,4000.0,25500.0,102.0,1536
3576,AMD Radeon R7 435 OEM,2016-06-30 12:00:00,2016.0,TSMC,320.0,5.0,,588800000000.0,,588800000000.0,36800000000.0,1467244800.0,,28,50.0,950.0,77.0,,16.0,64.0,920.0,,64.0,1000.0,2000.0,7360.0,18.4,320
3578,AMD Radeon R9 M275X,2014-01-28 12:00:00,2014.0,TSMC,640.0,10.0,,1184000000000.0,,1184000000000.0,74000000000.0,1390867200.0,,28,,1500.0,123.0,900.0,72.0,128.0,,,128.0,1125.0,2000.0,14800.0,37.0,640
3579,NVIDIA GeForce GT 330M,2010-01-10 12:00:00,2010.0,TSMC,48.0,,,121400000000.0,,121400000000.0,,1263081600.0,,40,23.0,486.0,100.0,,25.6,128.0,575.0,,128.0,800.0,1024.0,4600.0,9.2,48
3581,AMD Radeon R6 M255DX,2014-01-07 12:00:00,2014.0,TSMC,320.0,5.0,,547200000000.0,,547200000000.00006,34200000000.000004,1389052800.0,,28,,690.0,56.0,780.0,,,,,,,,6840.0,17.1,320
3582,NVIDIA NVS 300,2011-01-08 12:00:00,2011.0,TSMC,16.0,,,39360000000.0,,39360000000.0,,1294444800.0,125.41355211857436,40,18.0,260.0,57.0,,12.64,64.0,520.0,145.0,64.0,790.0,512.0,2080.0,4.16,16
3585,ATI Radeon HD 3450 AGP,2008-01-23 12:00:00,2008.0,TSMC,40.0,2.0,,48000000000.0,,48000000000.0,,1201046400.0,,55,25.0,181.0,67.0,,8.0,64.0,600.0,,64.0,500.0,512.0,2400.0,2.4,40
3586,ATI Mobility Radeon HD 565v,2010-05-05 12:00:00,2010.0,TSMC,320.0,4.0,,432000000000.0,,432000000000.0,,1273017600.0,,55,20.0,514.0,146.0,,25.6,128.0,675.0,,128.0,800.0,1024.0,5400.0,21.6,320
3587,AMD Radeon R7 240,2013-10-08 12:00:00,2013.0,TSMC,320.0,5.0,,448000000000.0,,448000000000.0,28000000000.0,1381190400.0,76.65774799641136,28,30.0,950.0,77.0,650.0,73.6,128.0,,168.0,128.0,1150.0,2000.0,5600.0,14.0,320
